trials.A1:K1thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,,
0,0,0,0,5,17.5952134,17.5952134,0.0364077,0.192592593,0.30462963,1,0,0,1.9380593,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
1,0,1,0,5,19.556784,19.556784,0.0217336,0.399074074,0.073148148,1,0,0,1.9867257,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
2,0,2,0,5,21.5671822,21.5671822,0.0197654,-0.112037037,-0.109259259,1,0,0,1.1607366,    ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
3,0,3,0,5,22.7542854,22.7542854,0.0206494,0.299074074,-0.331481481,1,0,0,1.3402103,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
4,0,4,0,5,33.3703197,33.3703197,0.0240915,0.133333333,-0.267592593,1,0,0,1.6724091,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
5,0,5,0,5,35.0747099,35.0747099,0.0250666,-0.189814815,-0.009259259,1,0,0,1.4839293,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
6,0,6,0,5,36.5908544,36.5908544,0.0249471,0.424074074,0.126851852,1,0,0,1.6344092,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
7,0,7,0,5,38.2550542,38.2550542,0.0230287,-0.101851852,0.227777778,1,0,0,2.1705995,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
8,0,8,0,5,41.5548209,41.5548209,0.0249868,0.273148148,0.240740741,1,0,0,1.9376732,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
9,0,9,0,5,43.5241613,43.5241613,0.0261317,0.409259259,-0.265740741,1,0,0,1.8189637,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
10,0,10,0,5,47.1530629,47.1530629,0.0186129,0.071296296,0.3,1,0,0,1.2732288,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
11,0,11,0,5,50.328159,50.328159,0.0167516,-0.306481481,0.451851852,1,0,0,1.8136049,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,avrg,avrg 5 ,avrg 10
12,0,12,0,5,52.1630361,52.1630361,0.0174409,0.388888889,0.497222222,1,0,0,1.496093,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,1.782536498,1.728007696,1.7331357
13,0,13,0,5,53.6783432,53.6783432,0.0163391,-0.062037037,0.402777778,1,0,0,1.4132648,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
14,0,14,0,5,56.6630053,56.6630053,0.0180159,0.073148148,0.371296296,1,0,0,1.5448962,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
15,0,15,0,5,58.2280409,58.2280409,0.0161731,0.133333333,-0.283333333,1,0,0,1.5639392,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
16,0,16,0,5,61.3116956,61.3116956,0.0171819,0.361111111,-0.012962963,1,0,0,1.4293839,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
17,0,17,0,5,64.9287829,64.9287829,0.0170426,0.153703704,-0.066666667,1,0,0,1.3801464,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
18,0,18,0,5,67.945616,67.945616,0.0179672,-0.428703704,-0.323148148,1,0,0,1.6621224,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
19,0,19,0,5,69.6294368,69.6294368,0.0179903,-0.22962963,0.225,1,0,0,1.4951752,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
20,0,20,0,5,76.8959949,76.8959949,0.0168194,0.20462963,-0.087962963,1,0,0,1.4787828,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
21,0,21,0,5,78.3935472,78.3935472,0.0156256,0.159259259,-0.333333333,1,0,0,1.4477687,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
22,0,22,0,5,79.8611441,79.8611441,0.0170425,-0.273148148,0.351851852,1,0,0,2.2802052,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
23,0,23,0,5,83.9623786,83.9623786,0.0172852,-0.45462963,0.090740741,1,0,0,1.513298,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
24,0,24,0,5,87.5440891,87.5440891,0.0158873,-0.310185185,0.197222222,1,0,0,1.8627801,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
