trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,
1,0,1,0,5,15.16590754,15.16590754,0.009431667,0.453333333,0.34,1,0,0,0.955504167,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
2,0,2,0,5,16.13413033,16.13413033,0.009814958,0.251111111,0.312222222,1,0,0,1.154009875,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
3,0,3,0,5,17.30062542,17.30062542,0.009963125,0.126666667,-0.272222222,1,0,0,1.337749708,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
4,0,4,0,5,18.65120458,18.65120458,0.009953458,-0.287777778,-0.03,1,0,0,1.021021375,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
5,0,5,0,5,19.68460838,19.68460838,0.009839667,0.117777778,-0.068888889,1,0,0,1.237162292,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
6,0,6,0,5,20.93363362,20.93363362,0.009752792,-0.256666667,0.285555556,1,0,0,1.287869958,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
8,0,8,0,5,23.74323717,23.74323717,0.009701916,0.222222222,-0.356666667,1,0,0,1.446149167,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
11,0,11,0,5,27.96125658,27.96125658,0.0090185,-0.264444444,0.367777778,1,0,0,1.47716575,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
18,0,18,0,5,37.86275354,37.86275354,0.009483417,-0.442222222,-0.371111111,1,0,0,1.560158417,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
20,0,20,0,5,40.66380504,40.66380504,0.009644958,0.215555556,-0.037777778,1,0,0,1.226103834,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,avrg,avergage of 5,avrgof 10
