trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,
2,0,2,0,5,30.4469555,30.4469555,0.0554181,0.33,0.151428571,1,0,0,1.9662979,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
3,0,3,0,5,32.4964886,32.4964886,0.0596524,0.131428571,-0.185714286,1,0,0,1.9611662,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
5,0,5,0,5,36.4641318,36.4641318,0.0658768,0.028571429,-0.128571429,1,0,0,1.958612,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
6,0,6,0,5,38.47727,38.47727,0.061072,0.475714286,-0.38,1,0,0,2.1400023,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
8,0,8,0,5,43.9085763,43.9085763,0.06076,0.365714286,0.05,1,0,0,2.5429882,    ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
9,0,9,0,5,46.5074758,46.5074758,0.0534533,-0.338571429,-0.21,1,0,0,1.9885207,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
11,0,11,0,5,51.1904465,51.1904465,0.0733024,-0.082857143,0.25,1,0,0,1.5091102,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
14,0,14,0,5,57.1545849,57.1545849,0.0469208,0.294285714,-0.257142857,1,0,0,1.3061508,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
15,0,15,0,5,58.5891692,58.5891692,0.1003933,0.238571429,0.194285714,1,0,0,1.8378172,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
20,0,20,0,5,68.7340212,68.7340212,0.0340797,-0.365714286,-0.237142857,1,0,0,4.4062321,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,avrg,avrg 5,avrg 10
23,0,23,0,5,78.1658704,78.1658704,0.0636919,-0.054285714,-0.012857143,1,0,0,1.3768377,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,2.560807248,2.320518601,2.810903594
24,0,24,0,5,79.5963508,79.5963508,0.0588057,-0.07,0.282857143,1,0,0,1.6601658,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
26,0,26,0,5,83.7626589,83.7626589,0.0644443,-0.374285714,-0.4,1,0,0,1.7562795,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
